"","Company_Name","Dependent.Company.Status","Focus.functions.of.company","Number.of.Co.founders","Number.of.of.advisors","Team.size.Senior.leadership","Number.of.of.repeat.investors","Worked.in.top.companies","Average.size.of.companies.worked.for.in.the.past","Product.or.service.company.","Focus.on.private.or.public.data.","Focus.on.consumer.data.","Cloud.or.platform.based.serive.product.","Local.or.global.player","Crowdfunding.based.business","Machine.Learning.based.business"
"1","COMPANY1","SUCCESS","OPERATION",1,2,2,4,"NO","SMALL","SERVICE","PRIVATE","NO","PLATFORM","GLOBAL","NO","NO"
"2","COMPANY2","SUCCESS","MARKETING, SALES",2,0,4,0,"YES","LARGE","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","YES"
"3","COMPANY3","SUCCESS","OPERATIONS",3,0,7,0,"YES","MEDIUM","BOTH","PRIVATE","YES","CLOUD","LOCAL","NO","NO"
"4","COMPANY4","SUCCESS","MARKETING & SALES",2,0,4,0,"NO","LARGE","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"5","COMPANY5","SUCCESS","MARKETING & SALES",1,1,8,0,"NO","SMALL","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"6","COMPANY6","SUCCESS","ANALYTICS",4,0,4,2,"NO","MEDIUM","SERVICE","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"7","COMPANY7","SUCCESS","RESEARCH",2,9,2,4,"NO","SMALL","BOTH","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"8","COMPANY8","SUCCESS","COMPUTING",3,4,4,0,"NO","LARGE","BOTH","PRIVATE","NO","PLATFORM","LOCAL","NO","NO"
"9","COMPANY9","SUCCESS","MARKETING",2,0,2,0,"YES","MEDIUM","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"10","COMPANY10","SUCCESS","RESEARCH",3,4,3,0,"YES","MEDIUM","PRODUCT","PUBLIC","YES","PLATFORM","GLOBAL","NO","NO"
"11","COMPANY11","SUCCESS","SALES, MARKETING",2,1,8,0,"NO","SMALL","BOTH","PUBLIC","YES","PLATFORM","GLOBAL","NO","NO"
"12","COMPANY12","SUCCESS","OPERATIONS",0,1,7,1,"NO","SMALL","PRODUCT","PRIVATE","NO","PLATFORM","GLOBAL","NO","NO"
"13","COMPANY13","SUCCESS","MARKETING 
SALES",0,1,8,1,"NO","MEDIUM","PRODUCT","PRIVATE","YES","CLOUD","LOCAL","NO","NO"
"14","COMPANY14","SUCCESS","TECHNOLOGY",3,0,6,0,"NO","LARGE","PRODUCT","PUBLIC","YES","CLOUD","GLOBAL","NO","NO"
"15","COMPANY15","SUCCESS","MARKETING, SALES",2,0,5,0,"NO","MEDIUM","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","YES"
"16","COMPANY16","SUCCESS","DATA MANAGEMENT",2,0,8,0,"NO","SMALL","BOTH","PUBLIC","YES","PLATFORM","GLOBAL","NO","NO"
"17","COMPANY17","SUCCESS","MARKETING",1,0,7,2,"NO","SMALL","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"18","COMPANY18","SUCCESS","MARKETING & SALES",3,0,8,2,"NO","SMALL","BOTH","BOTH","YES","PLATFORM","GLOBAL","NO","YES"
"19","COMPANY19","SUCCESS","SOLUTION PROVIDING",0,0,8,0,"YES","SMALL","BOTH","PUBLIC","YES","PLATFORM","LOCAL","NO","YES"
"20","COMPANY20","SUCCESS","MARKETING 
SALES",2,0,4,0,"NO","SMALL","PRODUCT","PRIVATE","YES","CLOUD","LOCAL","NO","NO"
"21","COMPANY21","SUCCESS","MARKETING",2,0,5,0,"YES","MEDIUM","BOTH","PRIVATE","YES","CLOUD","GLOBAL","NO","YES"
"22","COMPANY22","SUCCESS","SOCIAL MEDIA",2,0,4,0,"NO","MEDIUM","BOTH","PUBLIC","NO","PLATFORM","GLOBAL","NO","YES"
"23","COMPANY23","SUCCESS","MARKETING",3,8,3,2,"YES","MEDIUM","SERVICE","PRIVATE","YES","PLATFORM","GLOBAL","NO","NO"
"24","COMPANY24","SUCCESS","TARGETED MARKETING",2,6,5,4,"NO","SMALL","SERVICE","BOTH","NO","PLATFORM","GLOBAL","NO","NO"
"25","COMPANY25","SUCCESS","COMMUNITY BETTERMENT",2,0,2,0,"NO","SMALL","SERVICE","PUBLIC","NO","PLATFORM","LOCAL","NO","YES"
"26","COMPANY26","SUCCESS","WEB ANALYTICS",2,1,3,0,"NO","SMALL","SERVICE","PRIVATE","YES","PLATFORM","GLOBAL","NO","NO"
"27","COMPANY27","SUCCESS","STRATEGY",3,0,3,0,"NO","MEDIUM","SERVICE","PRIVATE","NO","PLATFORM","GLOBAL","NO","NO"
"28","COMPANY28","SUCCESS","SOCIAL MEDIA",1,0,1,0,"NO","SMALL","SERVICE","PRIVATE","NO","PLATFORM","GLOBAL","NO","YES"
"29","COMPANY29","SUCCESS","STRATEGY",2,8,10,2,"NO","MEDIUM","SERVICE","PRIVATE","NO","PLATFORM","LOCAL","NO","YES"
"30","COMPANY30","SUCCESS","BUG FIX",2,0,2,0,"NO","SMALL","SERVICE","PRIVATE","NO","PLATFORM","GLOBAL","NO","NO"
"31","COMPANY31","SUCCESS","DATA INTEGRATION",4,0,4,0,"NO","SMALL","SERVICE","PRIVATE","NO","PLATFORM","GLOBAL","NO","NO"
"32","COMPANY32","SUCCESS","MALWARE PROTECTION",2,0,7,3,"YES","LARGE","SERVICE","PRIVATE","NO","PLATFORM","LOCAL","NO","YES"
"33","COMPANY33","SUCCESS","ANALYTICS",3,2,5,3,"NO","SMALL","PRODUCT","BOTH","NO","PLATFORM","GLOBAL","NO","NO"
"34","COMPANY34","SUCCESS","SOCIAL MEDIA OPTIMIZATION",3,0,4,0,"NO","MEDIUM","SERVICE","BOTH","NO","PLATFORM","GLOBAL","NO","YES"
"35","COMPANY35","SUCCESS","ANALYTICS",1,0,6,1,"NO","MEDIUM","PRODUCT","PRIVATE","NO","PLATFORM","GLOBAL","NO","YES"
"36","COMPANY36","SUCCESS","MARKETING",2,6,4,0,"NO","MEDIUM","SERVICE","PUBLIC","YES","PLATFORM","GLOBAL","NO","YES"
"37","COMPANY37","SUCCESS","DATABASE MANAGEMENT",4,4,4,2,"NO","MEDIUM","SERVICE","PRIVATE","YES","PLATFORM","GLOBAL","NO","NO"
"38","COMPANY38","SUCCESS","OPERATIONS",2,3,2,1,"NO","SMALL","PRODUCT","PRIVATE","YES","PLATFORM","GLOBAL","NO","NO"
"39","COMPANY39","SUCCESS","TECHNOLOGY",2,0,4,4,"NO","MEDIUM","SERVICE","PRIVATE","YES","PLATFORM","LOCAL","NO","NO"
"40","COMPANY40","SUCCESS","ANALYTICS",5,0,5,0,"YES","SMALL","SERVICE","PUBLIC","YES","PLATFORM","GLOBAL","NO","NO"
"41","COMPANY41","SUCCESS","MARKETING",2,1,2,0,"NO","SMALL","SERVICE","PRIVATE","NO","PLATFORM","LOCAL","NO","YES"
"42","COMPANY42","SUCCESS","OPERATIONS",2,9,3,0,"NO","SMALL","PRODUCT","PRIVATE","YES","CLOUD","LOCAL","NO","YES"
"43","COMPANY43","SUCCESS","OPERATIONS",0,8,3,0,"NO","MEDIUM","SERVICE","PUBLIC","NO","PLATFORM","GLOBAL","NO","YES"
"44","COMPANY44","SUCCESS","SALES",3,0,6,1,"NO","SMALL","PRODUCT","PRIVATE","YES","CLOUD","GLOBAL","NO","NO"
"45","COMPANY45","SUCCESS","ANALYTICS",2,3,4,3,"NO","LARGE","PRODUCT","PUBLIC","NO","PLATFORM","LOCAL","NO","NO"
"46","COMPANY46","SUCCESS","TECHNOLOGY",4,10,6,0,"NO","SMALL","PRODUCT","PRIVATE","YES","CLOUD","GLOBAL","NO","NO"
"47","COMPANY47","SUCCESS","TECHNOLOGY",2,2,2,0,"NO","MEDIUM","PRODUCT","PRIVATE","NO","PLATFORM","GLOBAL","NO","NO"
"48","COMPANY48","SUCCESS","RISK",2,13,14,0,"NO","MEDIUM","PRODUCT","PRIVATE","YES","PLATFORM","GLOBAL","NO","NO"
"49","COMPANY49","SUCCESS","OPERATIONS",2,0,9,0,"NO","LARGE","SERVICE","PRIVATE","YES","PLATFORM","GLOBAL","NO","NO"
"50","COMPANY50","FAILED","MARKETING",2,0,2,3,"YES","SMALL","PRODUCT","PRIVATE","YES","CLOUD","LOCAL","NO","YES"
"51","COMPANY51","SUCCESS","MARKETING, WEB ANALYTICS",2,1,3,2,"NO","MEDIUM","SERVICE","BOTH","NO","CLOUD","GLOBAL","NO","NO"
"52","COMPANY52","SUCCESS","MARKETING",2,2,4,3,"YES","LARGE","BOTH","PRIVATE","YES","PLATFORM","GLOBAL","NO","YES"
"53","COMPANY53","SUCCESS","STRATEGY, OPERATIONS, FINACIAL PLANNING",3,5,7,4,"NO","LARGE","BOTH","PRIVATE","NO","CLOUD","GLOBAL","NO","YES"
"54","COMPANY54","SUCCESS","STRATEGY",4,3,8,5,"NO","MEDIUM","SERVICE","PRIVATE","NO","PLATFORM","GLOBAL","NO","YES"
"55","COMPANY55","SUCCESS","MARKETING",1,3,4,2,"NO","MEDIUM","SERVICE","BOTH","NO","PLATFORM","GLOBAL","NO","NO"
"56","COMPANY56","SUCCESS","DATA COLLECTION",2,2,3,1,"NO","MEDIUM","SERVICE","PRIVATE","NO","CLOUD","GLOBAL","NO","NO"
"57","COMPANY57","SUCCESS","MARKETIING",2,2,3,0,"YES","LARGE","PRODUCT","NO","NO","PLATFORM","LOCAL","NO","NO"
"58","COMPANY58","SUCCESS","MARKETING",2,2,4,0,"YES","SMALL","PRODUCT","BOTH","YES","PLATFORM","GLOBAL","NO","NO"
"59","COMPANY59","SUCCESS","ANALYTICS",2,0,2,0,"NO","SMALL","SERVICE","BOTH","YES","PLATFORM","LOCAL","NO","NO"
"60","COMPANY60","SUCCESS","ANALYTICS",2,0,2,0,"NO","MEDIUM","PRODUCT","NO","YES","PLATFORM","LOCAL","NO","NO"
"61","COMPANY61","SUCCESS","ANALYTICS",2,0,2,2,"YES","LARGE","PRODUCT","BOTH","NO","PLATFORM","GLOBAL","NO","NO"
"62","COMPANY62","SUCCESS","ANALYTICS",2,1,4,0,"NO","SMALL","SERVICE","BOTH","NO","PLATFORM","GLOBAL","NO","NO"
"63","COMPANY63","SUCCESS","SALES",2,1,2,0,"NO","LARGE","SERVICE","NO","NO","NONE","LOCAL","NO","NO"
"64","COMPANY64","SUCCESS","E-LEARNING",2,0,2,0,"NO","SMALL","PRODUCT","NO","NO","PLATFORM","GLOBAL","NO","NO"
"65","COMPANY65","SUCCESS","SALES",2,0,2,0,"NO","LARGE","PRODUCT","NO","NO","NONE","LOCAL","NO","NO"
"66","COMPANY66","SUCCESS","SOFTWARE SERVICE",2,0,1,0,"NO","SMALL","SERVICE","NO","NO","NONE","GLOBAL","NO","NO"
"67","COMPANY67","SUCCESS","MOBILE APP",4,1,5,0,"NO","SMALL","SERVICE","NO","NO","PLATFORM","GLOBAL","NO","NO"
"68","COMPANY68","SUCCESS","APPLICATION",2,0,2,0,"NO","MEDIUM","SERVICE","NO","YES","PLATFORM","LOCAL","NO","NO"
"69","COMPANY69","SUCCESS","TECHNOLOGY",2,0,2,0,"NO","SMALL","PRODUCT","NO","NO","PLATFORM","GLOBAL","NO","NO"
"70","COMPANY70","SUCCESS","ANALYTIC",4,0,4,0,"NO","SMALL","PRODUCT","BOTH","YES","PLATFORM","GLOBAL","NO","NO"
"71","COMPANY71","SUCCESS","ANALYTIC",3,0,5,0,"NO","SMALL","SERVICE","NO","YES","PLATFORM","GLOBAL","NO","NO"
"72","COMPANY72","SUCCESS","ANALYTIC",0,0,3,0,"NO","MEDIUM","PRODUCT","BOTH","YES","PLATFORM","GLOBAL","NO","NO"
"73","COMPANY73","SUCCESS","ANALYTIC",3,0,3,0,"NO","LARGE","PRODUCT","BOTH","YES","PLATFORM","GLOBAL","NO","NO"
"74","COMPANY74","SUCCESS","SOFTWARE ",2,0,3,0,"NO","LARGE","PRODUCT","NO","NO","PLATFORM","GLOBAL","NO","NO"
"75","COMPANY75","SUCCESS","SOFTWARE ",2,0,3,0,"NO","SMALL","SERVICE","BOTH","NO","PLATFORM","LOCAL","NO","NO"
"76","COMPANY76","SUCCESS","SOFTWARE ",2,0,5,0,"NO","SMALL","PRODUCT","NO","YES","PLATFORM","LOCAL","NO","NO"
"77","COMPANY77","SUCCESS","TECHNOLOGY",2,0,2,1,"NO","LARGE","SERVICE","PUBLIC","NO","BOTH","LOCAL","NO","NO"
"78","COMPANY78","SUCCESS","SOCIAL MEDIA",4,0,3,0,"NO","LARGE","SERVICE","PUBLIC","YES","BOTH","GLOBAL","NO","YES"
"79","COMPANY79","SUCCESS","SOCIAL MEDIA MANAGEMENT",3,0,3,0,"NO","MEDIUM","SERVICE","PUBLIC","YES","NONE","GLOBAL","YES","YES"
"80","COMPANY80","SUCCESS","OPERATIONS",3,1,2,0,"NO","LARGE","PRODUCT","BOTH","NO","NONE","GLOBAL","NO","YES"
"81","COMPANY81","SUCCESS","MARKETING",2,0,3,0,"NO","LARGE","SERVICE","PUBLIC","NO","BOTH","GLOBAL","NO","YES"
"82","COMPANY82","SUCCESS","PERSONAL APPS",2,0,7,0,"NO","SMALL","PRODUCT","PRIVATE","NO","BOTH","GLOBAL","NO","YES"
"83","COMPANY83","SUCCESS","CONSUMER BEHAVIOUR",5,2,5,0,"NO","SMALL","SERVICE","PUBLIC","NO","BOTH","GLOBAL","YES","YES"
"84","COMPANY84","SUCCESS","CUSTOMER SERVCE",2,0,2,0,"NO","SMALL","SERVICE","PUBLIC","NO","BOTH","GLOBAL","NO","YES"
"85","COMPANY85","SUCCESS","CUSTOMER SERVICE",4,0,2,0,"NO","SMALL","SERVICE","PUBLIC","NO","BOTH","GLOBAL","NO","YES"
"86","COMPANY86","SUCCESS","MARKETING",2,0,1,0,"NO","LARGE","SERVICE","PUBLIC","NO","BOTH","LOCAL","NO","YES"
"87","COMPANY87","SUCCESS","APP REVENUE",3,1,3,0,"NO","SMALL","SERVICE","PUBLIC","NO","BOTH","LOCAL","NO","YES"
"88","COMPANY88","SUCCESS","OPERATIONS",2,3,5,0,"NO","MEDIUM","SERVICE","PUBLIC","NO","BOTH","LOCAL","NO","NO"
"89","COMPANY89","SUCCESS","INTELLECTUAL PROPERTY ANALYSIS AND VISUALISATION",2,0,2,1,"NO","SMALL","SERVICE","PUBLIC","NO","BOTH","LOCAL","NO","YES"
"90","COMPANY90","SUCCESS","RETAIL",2,0,4,0,"NO","SMALL","SERVICE","PUBLIC","NO","BOTH","GLOBAL","NO","YES"
"91","COMPANY91","SUCCESS","DATA VISUALIZATION",0,0,6,0,"YES","SMALL","SERVICE","BOTH","YES","BOTH","GLOBAL","NO","NO"
"92","COMPANY92","SUCCESS","ANALYTICS",0,0,12,0,"NO","LARGE","PRODUCT","BOTH","YES","NONE","GLOBAL","NO","YES"
"93","COMPANY93","SUCCESS","SERVICE",3,2,8,0,"NO","SMALL","SERVICE","NO","NO","CLOUD","LOCAL","NO","NO"
"94","COMPANY94","SUCCESS","ANALYTICS",2,2,12,0,"YES","LARGE","SERVICE","BOTH","YES","PLATFORM","GLOBAL","NO","NO"
"95","COMPANY95","SUCCESS","ANALYTICS",0,0,2,0,"NO","LARGE","SERVICE","BOTH","YES","PLATFORM","LOCAL","NO","NO"
"96","COMPANY96","SUCCESS","MARKETING",2,0,3,0,"NO","MEDIUM","PRODUCT","NO","NO","PLATFORM","GLOBAL","NO","NO"
"97","COMPANY97","SUCCESS","SOCIAL MEDIA",3,1,3,0,"NO","SMALL","SERVICE","BOTH","YES","NONE","GLOBAL","NO","NO"
"98","COMPANY98","SUCCESS","SALES",4,0,4,0,"NO","SMALL","SERVICE","BOTH","YES","PLATFORM","LOCAL","NO","NO"
"99","COMPANY99","SUCCESS","SERVICE",2,0,2,0,"NO","SMALL","PRODUCT","BOTH","NO","PLATFORM","LOCAL","NO","NO"
"100","COMPANY100","SUCCESS","SERVICE",2,0,4,0,"NO","MEDIUM","PRODUCT","BOTH","YES","PLATFORM","LOCAL","NO","NO"
"101","COMPANY101","SUCCESS","SERVICE",2,0,4,2,"NO","MEDIUM","PRODUCT","NO","NO","PLATFORM","LOCAL","NO","NO"
"102","COMPANY102","SUCCESS","ANALYTICS",3,0,3,0,"NO","SMALL","PRODUCT","BOTH","YES","PLATFORM","GLOBAL","NO","NO"
"103","COMPANY103","SUCCESS","SECURITY",2,0,4,0,"NO","SMALL","PRODUCT","BOTH","NO","PLATFORM","GLOBAL","NO","YES"
"104","COMPANY104","SUCCESS","SERVICE",1,0,1,0,"NO","MEDIUM","SERVICE","BOTH","YES","PLATFORM","GLOBAL","NO","NO"
"105","COMPANY105","SUCCESS","SERVICE",0,1,7,0,"NO","MEDIUM","SERVICE","BOTH","YES","CLOUD","GLOBAL","NO","NO"
"106","COMPANY106","SUCCESS","MARKETING",1,0,2,0,"NO","SMALL","SERVICE","NO","NO","CLOUD","GLOBAL","NO","NO"
"107","COMPANY107","SUCCESS","OPERATION",3,2,5,1,"NO","SMALL","SERVICE","PRIVATE","YES","CLOUD","GLOBAL","NO","NO"
"108","COMPANY108","SUCCESS","MARKETING, SALES",2,0,2,2,"YES","LARGE","SERVICE","PRIVATE","NO","CLOUD","GLOBAL","NO","NO"
"109","COMPANY109","SUCCESS","MARKETING",1,0,3,0,"NO","SMALL","PRODUCT","PUBLIC","YES","CLOUD","GLOBAL","NO","NO"
"110","COMPANY110","SUCCESS","RESEARCH",0,0,3,0,"NO","SMALL","SERVICE","PUBLIC","YES","CLOUD","LOCAL","NO","NO"
"111","COMPANY111","SUCCESS","OPERATIONS, SALES, MARKETING",2,1,5,0,"NO","MEDIUM","BOTH","PRIVATE","YES","PLATFORM","LOCAL","NO","NO"
"112","COMPANY112","SUCCESS","OPERATIONS",3,4,4,0,"NO","LARGE","BOTH","PUBLIC","NO","CLOUD","GLOBAL","NO","NO"
"113","COMPANY113","SUCCESS","RESEARCH",0,0,3,0,"NO","SMALL","PRODUCT","BOTH","YES","PLATFORM","LOCAL","NO","YES"
"114","COMPANY114","SUCCESS","MARKETING & SALES",0,0,4,0,"YES","LARGE","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"115","COMPANY115","SUCCESS","MARKETING & SALES",1,2,4,0,"YES","LARGE","BOTH","PUBLIC","YES","PLATFORM","GLOBAL","NO","NO"
"116","COMPANY116","SUCCESS","OPERATIONS",0,0,3,0,"YES","LARGE","PRODUCT","PUBLIC","YES","PLATFORM","GLOBAL","NO","NO"
"117","COMPANY117","SUCCESS","MARKETING, TECHNOLOGY, FINANCE & ACCOUNTING, CUSTOMER SERVICE",0,4,4,0,"NO","SMALL","PRODUCT","BOTH","YES","PLATFORM","LOCAL","NO","NO"
"118","COMPANY118","SUCCESS","OPERATION",3,0,4,0,"NO","MEDIUM","SERVICE","PRIVATE","NO","PLATFORM","LOCAL","NO","NO"
"119","COMPANY119","SUCCESS","COMPUTING, TRAINING",2,7,5,3,"NO","SMALL","BOTH","PRIVATE","NO","CLOUD","GLOBAL","NO","NO"
"120","COMPANY120","SUCCESS","MARKETING",2,1,8,0,"NO","MEDIUM","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"121","COMPANY121","SUCCESS","MARKETING",0,0,7,0,"NO","MEDIUM","PRODUCT","PRIVATE","YES","PLATFORM","LOCAL","NO","NO"
"122","COMPANY122","SUCCESS","OPERATIONS, MARKETING",1,0,4,0,"NO","SMALL","PRODUCT","PRIVATE","YES","PLATFORM","LOCAL","NO","YES"
"123","COMPANY123","SUCCESS","SOCIAL ADVERTISING",0,4,2,0,"NO","LARGE","PRODUCT","PUBLIC","YES","CLOUD","GLOBAL","NO","NO"
"124","COMPANY124","SUCCESS","RESEARCH",3,7,7,1,"NO","MEDIUM","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"125","COMPANY125","SUCCESS","OPERATIONS",2,0,4,1,"YES","LARGE","PRODUCT","PRIVATE","NO","CLOUD","LOCAL","NO","NO"
"126","COMPANY126","SUCCESS","MARKETING, SALES",5,0,6,0,"NO","LARGE","PRODUCT","BOTH","YES","PLATFORM","GLOBAL","NO","YES"
"127","COMPANY127","SUCCESS","MARKETING",1,7,9,2,"NO","LARGE","PRODUCT","BOTH","YES","CLOUD","LOCAL","NO","NO"
"128","COMPANY128","SUCCESS","MARKETING, SALES",2,0,3,0,"NO","MEDIUM","BOTH","PUBLIC","YES","PLATFORM","LOCAL","NO","NO"
"129","COMPANY129","SUCCESS","OPERATION",1,0,5,0,"NO","SMALL","PRODUCT","BOTH","NO","CLOUD","GLOBAL","NO","NO"
"130","COMPANY130","SUCCESS","RISK",0,0,10,0,"NO","LARGE","BOTH","BOTH","YES","PLATFORM","LOCAL","NO","NO"
"131","COMPANY131","SUCCESS","MARKETING, SALES",0,0,6,3,"NO","SMALL","PRODUCT","BOTH","YES","PLATFORM","GLOBAL","NO","NO"
"132","COMPANY132","SUCCESS","MARKETING 
SALES",2,0,12,1,"NO","SMALL","PRODUCT","PRIVATE","YES","CLOUD","GLOBAL","NO","NO"
"133","COMPANY133","SUCCESS","RESEARCH",3,3,4,0,"NO","MEDIUM","PRODUCT","PUBLIC","YES","PLATFORM","GLOBAL","NO","NO"
"134","COMPANY134","SUCCESS","DATA COLLECTION ",1,0,8,0,"NO","SMALL","PRODUCT","PUBLIC","YES","PLATFORM","LOCAL","NO","YES"
"135","COMPANY135","SUCCESS","MARKETING",1,0,1,0,"NO","SMALL","PRODUCT","PRIVATE","NO","CLOUD","LOCAL","NO","NO"
"136","COMPANY136","FAILED","DEVELOPMENT, MARKETING, AND ADMINISTRATION",3,1,5,0,"NO","MEDIUM","BOTH","PRIVATE","YES","PLATFORM","LOCAL","NO","NO"
"137","COMPANY137","FAILED","IT & SALES",0,0,8,0,"NO","LARGE","PRODUCT","NO","NO","PLATFORM","LOCAL","NO","NO"
"138","COMPANY138","FAILED","SOCIAL NEWS",1,0,6,0,"YES","MEDIUM","PRODUCT","PUBLIC","NO","PLATFORM","GLOBAL","NO","NO"
"139","COMPANY139","FAILED","WEB",3,0,5,0,"NO","SMALL","PRODUCT","PUBLIC","YES","PLATFORM","GLOBAL","NO","YES"
"140","COMPANY140","FAILED","SALE",0,0,5,1,"NO","SMALL","SERVICE","PUBLIC","NO","PLATFORM","LOCAL","NO","NO"
"141","COMPANY142","FAILED","OPERATION",0,0,5,0,"NO","SMALL","PRODUCT","NO","NO","PLATFORM","GLOBAL","NO","NO"
"142","COMPANY143","FAILED","SALES",1,0,1,0,"NO","SMALL","PRODUCT","NO","NO","PLATFORM","LOCAL","NO","NO"
